tgrep_id,Mean,Var,YMin,YMax
96866:33,4.9,2.988888888888889,3.8,5.8
96870:36,5.2,2.4000000000000004,4.3,6.1
96882:42,3.4,5.377777777777777,2.1,4.702499999999998
96886:11,4.8,5.288888888888888,3.5,6.1
97004:103,2.9,4.766666666666667,1.7,4.2
97106:13,4.1,3.6555555555555563,3,5.2
97106:20,4.8,4.844444444444445,3.5,6
97229:18,3.9,4.1000000000000005,2.8,5.1
97320:78,3.6,7.155555555555555,2,5.3
97543:11,3.9,3.877777777777778,2.7,5
97584:19,2.7,2.6777777777777785,1.7975,3.7
9762:24,2,4.444444444444445,1,3.5
97813:26,3.45,3.1026315789473684,2.75,4.25
9797:33,5.8,3.5111111111111115,4.5,6.7
97989:5,4.7,3.566666666666667,3.4,5.7
98248:22,4.5,3.1666666666666665,3.5,5.5
98822:22,5,3.7777777777777777,3.8,6
98932:25,3.2,4.177777777777777,2.1,4.3
98969:36,3.8,3.955555555555555,2.6,5
98986:4,5.5,3.611111111111111,4.3975,6.5
99158:38,5.4,2.488888888888889,4.5,6.4
99170:29,5.5,2.9444444444444446,4.4,6.4
99236:8,5.8,2.8444444444444446,4.8,6.7
99247:72,5.2,1.7333333333333334,4.4,6
99256:22,4.3,2.011111111111111,3.5,5.1
99256:38,5,2.888888888888889,4,5.9
99291:5,5.2,2.8444444444444446,4.1,6
99355:10,4.6,2.266666666666667,3.7,5.5
99356:32,2.9,6.544444444444444,1.5,4.4
99608:4,5.3,2.011111111111111,4.5,6.1
99637:89,2.7,3.5666666666666678,1.7,4
99651:29,2.6,2.488888888888889,1.7,3.6
9967:56,3.3,4.455555555555555,2.2,4.602499999999997
9970:53,4.4,2.933333333333333,3.3975,5.4
99831:29,2,2.2222222222222223,1.3975000000000002,3
99947:44,2.6,4.2666666666666675,1.5,3.9
99956:17,6.2,1.0666666666666667,5.5,6.8
